No,Formatted_Name,Name,Pokedex_Entry,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Lvl100_Cost,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total
1,Bulbasaur,bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,1,0.7,6.9,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,64,1059860,Ordinary,45,49,49,65,65,45,318
2,Ivysaur,ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",1,1,13,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,142,1059860,Ordinary,60,62,63,80,80,60,405
3,Venusaur,venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,1,2,100,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,263,1059860,Ordinary,80,82,83,100,100,80,525
4,Charmander,charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",1,0.6,8.5,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,39,52,43,60,50,65,309
5,Charmeleon,charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",1,1.1,19,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,58,64,58,80,65,80,405
6,Charizard,charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,1,1.7,90.5,Fire,Flying,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,267,1059860,Ordinary,78,84,78,109,85,100,534
7,Squirtle,squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",1,0.5,9,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,63,1059860,Ordinary,44,48,65,50,64,43,314
8,Wartortle,wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",1,1,22.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,59,63,80,65,80,58,405
9,Blastoise,blastoise,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,1,1.6,85.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,265,1059860,Ordinary,79,83,100,85,105,78,530
10,Caterpie,caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,1,0.3,2.9,Bug,,Shield Dust,,Run Away,Green,50,50,0,15,Bug,,255,39,1000000,Ordinary,45,30,35,20,20,45,195
11,Metapod,metapod,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",1,0.7,9.9,Bug,,Shed Skin,,,Green,50,50,0,15,Bug,,120,72,1000000,Ordinary,50,20,55,25,25,30,205
12,Butterfree,butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",1,1.1,32,Bug,Flying,Compound Eyes,,Tinted Lens,White,50,50,0,15,Bug,,45,198,1000000,Ordinary,60,45,50,90,80,70,395
13,Weedle,weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,Brown,50,50,0,15,Bug,,255,39,1000000,Ordinary,40,35,30,20,20,50,195
14,Kakuna,kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",1,0.6,10,Bug,Poison,Shed Skin,,,Yellow,50,50,0,15,Bug,,120,72,1000000,Ordinary,45,25,50,25,25,35,205
15,Beedrill,beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,1,1,29.5,Bug,Poison,Swarm,,Sniper,Yellow,50,50,0,15,Bug,,45,198,1000000,Ordinary,65,90,40,45,80,75,395
16,Pidgey,pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,255,50,1059860,Ordinary,40,45,40,35,35,56,251
17,Pidgeotto,pidgeotto,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",1,1.1,30,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,120,122,1059860,Ordinary,63,60,55,50,50,71,349
18,Pidgeot,pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,45,240,1059860,Ordinary,83,80,75,70,70,101,479
19,Rattata,rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",1,0.3,3.5,Normal,,Run Away,Guts,Hustle,Purple,50,50,0,15,Ground,,255,51,1000000,Ordinary,30,56,35,25,35,72,253
20,Raticate,raticate,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,Brown,50,50,0,15,Ground,,127,145,1000000,Ordinary,55,81,60,50,70,97,413
21,Spearow,spearow,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,1,0.3,2,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,255,52,1000000,Ordinary,40,60,30,31,31,70,262
22,Fearow,fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",1,1.2,38,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,90,155,1000000,Ordinary,65,90,65,61,61,100,442
23,Ekans,ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",1,2,6.9,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,255,58,1000000,Ordinary,35,60,44,40,54,55,288
24,Arbok,arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.,1,3.5,65,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,90,157,1000000,Ordinary,60,95,69,65,79,80,448
25,Pikachu,pikachu,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",1,0.4,6,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,190,112,1000000,Ordinary,35,55,40,50,50,90,320
26,Raichu,raichu,Its long tail serves as a ground to protect itself from its own high voltage power.,1,0.8,30,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,60,90,55,90,80,110,485
27,Sandshrew,sandshrew,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,1,0.6,12,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,255,60,1000000,Ordinary,50,75,85,20,30,40,300
28,Sandslash,sandslash,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,1,1,29.5,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,90,158,1000000,Ordinary,75,100,110,45,55,65,450
29,Nidoran F,nidoran-f,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",1,0.4,7,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Monster,Ground,235,55,1059860,Ordinary,55,47,52,40,40,41,275
30,Nidorina,nidorina,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,1,0.8,20,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Undiscovered,,120,128,1059860,Ordinary,70,62,67,55,55,56,365
31,Nidoqueen,nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,1,1.3,60,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0,100,0,20,Undiscovered,,45,253,1059860,Ordinary,90,92,87,75,85,76,505
32,Nidoran M,nidoran-m,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",1,0.5,9,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,235,55,1059860,Ordinary,46,57,40,40,40,50,273
33,Nidorino,nidorino,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,120,128,1059860,Ordinary,61,72,57,55,55,65,365
34,Nidoking,nidoking,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",1,1.4,62,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100,0,0,20,Monster,Ground,45,253,1059860,Ordinary,81,102,77,85,75,85,505
35,Clefairy,clefairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25,75,0,10,Fairy,,150,113,800000,Ordinary,70,45,48,60,65,35,323
36,Clefable,clefable,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,1,1.3,40,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25,75,0,10,Fairy,,25,242,800000,Ordinary,95,70,73,95,90,60,483
37,Vulpix,vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",1,0.6,9.9,Fire,,Flash Fire,,Drought,Brown,25,75,0,20,Ground,,190,60,1000000,Ordinary,38,41,40,50,65,65,299
38,Ninetales,ninetales,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,1,1.1,19.9,Fire,,Flash Fire,,Drought,Yellow,25,75,0,20,Ground,,75,177,1000000,Ordinary,73,76,75,81,100,100,505
39,Jigglypuff,jigglypuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25,75,0,10,Fairy,,170,95,800000,Ordinary,115,45,20,45,25,20,270
40,Wigglytuff,wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",1,1,12,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25,75,0,10,Fairy,,50,218,800000,Ordinary,140,70,45,85,50,45,435
41,Zubat,zubat,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,255,49,1000000,Ordinary,40,45,35,30,40,55,245
42,Golbat,golbat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",1,1.6,55,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,90,159,1000000,Ordinary,75,80,70,65,75,90,455
43,Oddish,oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,Blue,50,50,0,20,Grass,,255,64,1059860,Ordinary,45,50,55,75,65,30,320
44,Gloom,gloom,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,Blue,50,50,0,20,Grass,,120,138,1059860,Ordinary,60,65,70,85,75,40,395
45,Vileplume,vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,Red,50,50,0,20,Grass,,45,245,1059860,Ordinary,75,80,85,110,90,50,490
46,Paras,paras,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,190,57,1000000,Ordinary,35,70,55,45,55,25,285
47,Parasect,parasect,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,1,1,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,75,142,1000000,Ordinary,60,95,80,60,80,30,405
48,Venonat,venonat,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,1,1,30,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50,50,0,20,Bug,,190,61,1000000,Ordinary,60,55,50,40,55,45,305
49,Venomoth,venomoth,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50,50,0,20,Bug,,75,158,1000000,Ordinary,70,65,60,90,75,90,450
50,Diglett,diglett,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,10,55,25,35,45,95,265
51,Dugtrio,dugtrio,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,35,100,50,50,70,120,425
52,Meowth,meowth,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,Yellow,50,50,0,20,Ground,,255,58,1000000,Ordinary,40,45,35,40,40,90,290
53,Persian,persian,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",1,1,32,Normal,,Limber,Technician,Unnerve,Yellow,50,50,0,20,Ground,,90,154,1000000,Ordinary,65,70,60,65,65,115,440
54,Psyduck,psyduck,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50,50,0,20,Water1,Ground,190,64,1000000,Ordinary,50,52,48,65,50,55,320
55,Golduck,golduck,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,Blue,50,50,0,20,Water1,Ground,75,175,1000000,Ordinary,80,82,78,95,80,85,500
56,Mankey,mankey,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,1,0.5,28,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,190,61,1000000,Ordinary,40,80,35,35,45,70,305
57,Primeape,primeape,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,1,1,32,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,75,159,1000000,Ordinary,65,105,60,60,70,95,455
58,Growlithe,growlithe,Very protective of its territory. It will bark and bite to repel intruders from its space.,1,0.7,19,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,55,70,45,70,50,60,350
59,Arcanine,arcanine,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,1,1.9,155,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,90,110,80,100,80,95,555
60,Poliwag,poliwag,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,255,60,1059860,Ordinary,40,50,40,40,40,90,300
61,Poliwhirl,poliwhirl,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",1,1,20,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,120,135,1059860,Ordinary,65,65,65,50,50,90,385
62,Poliwrath,poliwrath,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,1,1.3,54,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,45,255,1059860,Ordinary,90,95,95,70,90,70,510
63,Abra,abra,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,200,62,1059860,Ordinary,25,20,15,105,55,90,310
64,Kadabra,kadabra,It emits special alpha waves from its body that induce headaches just by being close by.,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,100,140,1059860,Ordinary,40,35,30,120,70,105,400
65,Alakazam,alakazam,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000.",1,1.5,48,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,50,250,1059860,Ordinary,55,50,45,135,95,120,500
66,Machop,machop,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,180,61,1059860,Ordinary,70,80,50,35,35,35,305
67,Machoke,machoke,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,90,142,1059860,Ordinary,80,100,70,50,60,45,405
68,Machamp,machamp,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",1,1.6,130,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,45,253,1059860,Ordinary,90,130,80,65,85,55,505
69,Bellsprout,bellsprout,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,1,0.7,4,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,255,60,1059860,Ordinary,50,75,35,70,30,40,300
70,Weepinbell,weepinbell,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,1,1,6.4,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,120,137,1059860,Ordinary,65,90,50,85,45,55,390
71,Victreebel,victreebel,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,45,245,1059860,Ordinary,80,105,65,100,70,70,490
72,Tentacool,tentacool,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,190,67,1250000,Ordinary,40,40,35,50,100,70,335
73,Tentacruel,tentacruel,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",1,1.6,55,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,60,180,1250000,Ordinary,80,70,65,80,120,100,515
74,Geodude,geodude,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",1,0.4,20,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,255,60,1059860,Ordinary,40,80,100,30,30,20,300
75,Graveler,graveler,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,1,1,105,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,120,137,1059860,Ordinary,55,95,115,45,45,35,390
76,Golem,golem,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,1,1.4,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,45,223,1059860,Ordinary,80,120,130,55,65,45,495
77,Ponyta,ponyta,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,1,1,30,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,190,82,1000000,Ordinary,50,85,55,65,65,90,410
78,Rapidash,rapidash,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",1,1.7,95,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,60,175,1000000,Ordinary,65,100,70,80,80,105,500
79,Slowpoke,slowpoke,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,1,1.2,36,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,190,63,1000000,Ordinary,90,65,65,40,40,15,315
80,Slowbro,slowbro,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,1,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,75,172,1000000,Ordinary,95,75,110,100,80,30,490
81,Magnemite,magnemite,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,1,0.3,6,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,190,65,1000000,Ordinary,25,35,70,95,55,45,325
82,Magneton,magneton,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,1,1,60,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,60,163,1000000,Ordinary,50,60,95,120,70,70,465
83,Farfetch'd,farfetchd,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,1,0.8,15,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,50,50,0,20,Flying,Ground,45,132,1000000,Ordinary,52,90,55,58,62,60,377
